,agency,slot,size,min,max,50-p,50-r,75-p,75-r,85-p,85-r,90-p,90-r,95-p,95-r,96-p,96-r,97-p,97-r,98-p,98-r,99-p,99-r,100-p,100-r
150,34003-64,W,796,0.0,46753.0,942.0,398,2709.0,199,5222.0,120,6747.0,80,11690.0,40,12107.0,32,14014.0,24,15352.0,16,22530.0,8,46753.0,0
151,34003-66,D,963,2.0,4102728.0,905.0,482,937.0,241,974.0,145,1193.0,97,1830.0,49,2670.0,39,2723.0,29,3976.0,20,6316.0,10,4102728.0,0
152,34003-66,N,1174,167.0,12473.0,906.0,587,938.0,294,1768.0,177,1825.0,118,2958.0,59,3611.0,47,4443.0,36,5372.0,24,6311.0,12,12473.0,0
153,34003-66,W,755,165.0,9764.0,912.0,378,1760.0,189,1842.0,114,2703.0,76,3601.0,38,3633.0,31,4479.0,23,4515.0,16,6325.0,8,9764.0,0
154,34003-1,D,145,14.0,43386.0,14433.0,73,14498.0,37,14531.0,22,14558.0,15,14604.0,8,14636.0,6,14645.0,5,15503.0,3,19004.0,2,43386.0,0
155,34003-1,N,252,5056.0,29080.0,14385.0,126,14513.0,63,14636.0,38,14696.0,26,14801.0,13,14855.0,11,21000.0,8,22361.0,6,28820.0,3,29080.0,0
156,34003-1,W,156,12805.0,15823.0,14392.0,78,14467.0,39,14520.0,24,14571.0,16,14658.0,8,14670.0,7,14713.0,5,14741.0,4,14850.0,2,15823.0,0
157,34003-68,D,968,2.0,1763465.0,907.0,484,959.0,242,1803.0,146,1888.0,97,3617.0,49,4473.0,39,4916.0,30,6350.0,20,11403.0,10,1763465.0,0
158,34003-68,N,1063,188.0,22488.0,910.0,532,1769.0,266,2481.0,160,2755.0,107,4506.0,54,5365.0,43,6320.0,32,8087.0,22,9906.0,11,22488.0,0
159,34003-68,W,673,3.0,27919.0,911.0,337,1786.0,169,2698.0,101,3570.0,68,4527.0,34,5373.0,27,5402.0,21,6312.0,14,7259.0,7,27919.0,0
160,34003-69,D,1083,2.0,63827.0,948.0,542,2675.0,271,3610.0,163,4622.0,109,7187.0,55,7995.0,44,9020.0,33,10815.0,22,12650.0,11,63827.0,0
161,34003-69,N,669,2.0,45893.0,1800.0,335,4629.0,168,8992.0,101,12624.0,67,21608.0,34,24248.0,27,24328.0,21,28812.0,14,35123.0,7,45893.0,0
162,34003-69,W,531,131.0,53966.0,1795.0,266,4551.0,133,8093.0,80,10792.0,54,16213.0,27,17966.0,22,20676.0,16,27026.0,11,29712.0,6,53966.0,0
163,34003-70,D,276,6.0,1814751.0,2683.0,138,8025.0,69,14452.0,42,26090.0,28,49997.0,14,51974.0,12,67630.0,9,79100.0,6,160021.0,3,1814751.0,0
164,34003-70,N,181,389.0,120376.0,2680.0,91,8098.0,46,16182.0,28,20384.0,19,28644.0,10,35112.0,8,41497.0,6,48430.0,4,100621.0,2,120376.0,0
165,34003-70,W,94,202.0,68575.0,5444.0,47,21664.0,24,30849.0,15,42292.0,10,59376.0,5,63706.0,4,65856.0,3,66836.0,2,68575.0,1,68575.0,0
166,34003-71,D,779,6.0,46828.0,2327.0,390,4556.0,195,4751.0,117,6965.0,78,11711.0,39,13736.0,32,16054.0,24,24200.0,16,28085.0,8,46828.0,0
167,34003-71,N,647,4.0,78365.0,2356.0,324,4674.0,162,7036.0,98,9321.0,65,13895.0,33,13982.0,26,16345.0,20,19442.0,13,30092.0,7,78365.0,0
168,34003-71,W,356,-8.0,53138.0,2441.0,178,7007.0,89,11532.0,54,15887.0,36,26001.0,18,27342.0,15,32212.0,11,32593.0,8,38909.0,4,53138.0,0
169,34003-74,D,757,2.0,76107.0,1775.0,379,3651.0,190,7161.0,114,9033.0,76,18925.0,38,24297.0,31,28797.0,23,32363.0,16,46794.0,8,76107.0,0
170,34003-74,N,488,153.0,42325.0,1721.0,244,4594.0,122,9002.0,74,14296.0,49,19792.0,25,20737.0,20,25231.0,15,28798.0,10,34201.0,5,42325.0,0
171,34003-74,W,329,181.0,60307.0,2705.0,165,8105.0,83,13491.0,50,18010.0,33,26104.0,17,28804.0,14,32386.0,10,36898.0,7,46768.0,4,60307.0,0
172,34003-75,D,2477,2.0,15307.0,900.0,1239,927.0,620,950.0,372,995.0,248,1743.0,124,1795.0,100,1808.0,75,1847.0,50,2722.0,25,15307.0,0
173,34003-75,N,2273,-3.0,18884.0,908.0,1137,956.0,569,1809.0,341,2691.0,228,3638.0,114,4495.0,91,5364.0,69,6378.0,46,9857.0,23,18884.0,0
174,34003-75,W,1602,11.0,23382.0,909.0,801,1408.0,401,1820.0,241,2694.0,161,3602.0,81,3623.0,65,4490.0,49,5386.0,33,7238.0,17,23382.0,0
175,34003-76,D,442,2.0,143061.0,1865.0,221,7064.0,111,11738.0,67,19858.0,45,36525.0,23,37554.0,18,40334.0,14,46649.0,9,48321.0,5,143061.0,0
176,34003-76,N,451,0.0,86519.0,2103.0,226,7208.0,113,11807.0,68,14323.0,46,19808.0,23,21438.0,19,23726.0,14,29702.0,10,38911.0,5,86519.0,0
177,34003-76,W,251,355.0,75842.0,3580.0,126,11754.0,63,17407.0,38,23978.0,26,34703.0,13,38925.0,11,40296.0,8,44122.0,6,46594.0,3,75842.0,0
178,34003-77,D,1144,3.0,43723.0,1396.0,572,2703.0,286,3607.0,172,4479.0,115,5485.0,58,6308.0,46,7257.0,35,8142.0,23,9400.0,12,43723.0,0
179,34003-77,N,969,524.0,31516.0,1812.0,485,3596.0,243,5413.0,146,7317.0,97,11645.0,49,13460.0,39,14445.0,30,18026.0,20,23397.0,10,31516.0,0
180,34003-77,W,540,315.0,33361.0,2676.0,270,5374.0,135,8078.0,81,9876.0,54,12664.0,27,13544.0,22,15283.0,17,16602.0,11,19735.0,6,33361.0,0
181,34003-78,D,956,2.0,831761.0,945.0,478,2647.0,239,3642.0,144,5425.0,96,10197.0,48,13515.0,39,19739.0,29,26122.0,20,39595.0,10,831761.0,0
182,34003-78,N,552,0.0,44097.0,1213.0,276,3666.0,138,7189.0,83,9932.0,56,15323.0,28,17102.0,23,19760.0,17,24261.0,12,31511.0,6,44097.0,0
183,34003-78,W,424,0.0,57556.0,1798.0,212,4566.0,106,8084.0,64,11712.0,43,20678.0,22,23420.0,17,28753.0,13,35999.0,9,41438.0,5,57556.0,0
184,34003-79,D,1616,2.0,33059.0,913.0,808,1761.0,404,1837.0,243,2699.0,162,3621.0,81,4508.0,65,5335.0,49,6309.0,33,10798.0,17,33059.0,0
185,34003-79,N,1446,2.0,28483.0,917.0,723,2624.0,362,3606.0,217,5330.0,145,7219.0,73,8126.0,58,9048.0,44,10783.0,29,13511.0,15,28483.0,0
186,34003-79,W,796,31.0,44676.0,946.0,398,3335.0,199,5374.0,120,6323.0,80,9112.0,40,10782.0,32,12037.0,24,15267.0,16,21617.0,8,44676.0,0
187,34003-80,D,1305,8.0,51603.0,1208.0,653,2398.0,327,3150.0,196,3599.0,131,4808.0,66,5976.0,53,6012.0,40,7204.0,27,14036.0,14,51603.0,0
188,34003-80,N,962,51.0,40065.0,1446.0,481,3596.0,241,5988.0,145,7209.0,97,10862.0,49,12159.0,39,14391.0,29,17596.0,20,20411.0,10,40065.0,0
189,34003-80,W,682,72.0,26398.0,2379.0,341,4408.0,171,6542.0,103,7227.0,69,10402.0,35,10815.0,28,12025.0,21,15567.0,14,19195.0,7,26398.0,0
190,34003-81,D,2022,2.0,16238.0,906.0,1011,945.0,506,1776.0,304,1812.0,203,2667.0,102,2709.0,81,2747.0,61,3590.0,41,4488.0,21,16238.0,0
191,34003-81,N,2084,2.0,18885.0,910.0,1042,1768.0,521,1951.0,313,3525.0,209,4505.0,105,5383.0,84,6231.0,63,7200.0,42,8980.0,21,18885.0,0
192,34003-81,W,1180,5.0,21599.0,923.0,590,1831.0,295,2756.0,177,4482.0,118,6305.0,59,7173.0,48,7238.0,36,8952.0,24,9940.0,12,21599.0,0
193,34003-83,D,1295,1.0,154190.0,943.0,648,1852.0,324,2735.0,195,3613.0,130,5376.0,65,5490.0,52,6303.0,39,7204.0,26,10584.0,13,154190.0,0
194,34003-83,N,1038,2.0,34832.0,1744.0,519,3586.0,260,5724.0,156,7841.0,104,10923.0,52,11781.0,42,12617.0,32,14268.0,21,16325.0,11,34832.0,0
195,34003-83,W,725,2.0,25946.0,1784.0,363,3624.0,182,6298.0,109,7227.0,73,9937.0,37,11563.0,29,12666.0,22,14472.0,15,17220.0,8,25946.0,0
196,34003-84,D,753,2.0,61360.0,1719.0,377,3599.0,189,5423.0,113,7255.0,76,14389.0,38,17856.0,31,20707.0,23,23868.0,16,38653.0,8,61360.0,0
197,34003-84,N,441,2.0,86412.0,2842.0,221,7240.0,111,10114.0,67,14401.0,45,23098.0,23,24289.0,18,25205.0,14,34189.0,9,39750.0,5,86412.0,0
198,34003-84,W,309,258.0,149826.0,3695.0,155,8992.0,78,13527.0,47,17079.0,31,25295.0,16,30642.0,13,31520.0,10,40501.0,7,52302.0,4,149826.0,0
199,34003-899,D,607,8.0,89958.0,3618.0,304,3685.0,152,3795.0,92,7328.0,61,50493.0,31,53911.0,25,53959.0,19,57417.0,13,60120.0,7,89958.0,0
200,34003-899,N,43,2848.0,82717.0,3654.0,22,7557.0,11,14267.0,7,46872.0,5,50361.0,3,61132.0,2,61132.0,2,82717.0,1,82717.0,1,82717.0,0
201,34003-899,W,43,3556.0,169246.0,57572.0,22,82775.0,11,89979.0,7,100164.0,5,100813.0,3,100868.0,2,100868.0,2,169246.0,1,169246.0,1,169246.0,0
202,34003-85,D,1545,2.0,22515.0,914.0,773,1796.0,387,2679.0,232,2855.0,155,4502.0,78,5380.0,62,6292.0,47,7210.0,31,11681.0,16,22515.0,0
203,34003-85,N,1175,2.0,31493.0,937.0,588,2704.0,294,4518.0,177,6304.0,118,9021.0,59,9949.0,47,11684.0,36,12587.0,24,17098.0,12,31493.0,0
204,34003-85,W,956,129.0,36792.0,930.0,478,2670.0,239,3606.0,144,4542.0,96,8117.0,48,8984.0,39,9896.0,29,11707.0,20,18710.0,10,36792.0,0
205,34003-88,D,498,2.0,44836.0,1802.0,249,4532.0,125,8077.0,75,10757.0,50,15519.0,25,17114.0,20,17835.0,15,18843.0,10,29676.0,5,44836.0,0
206,34003-88,N,505,2.0,775862.0,2018.0,253,6250.0,127,9923.0,76,14420.0,51,22496.0,26,25194.0,21,30666.0,16,33288.0,11,39588.0,6,775862.0,0
207,34003-88,W,298,735.0,53073.0,2747.0,149,8989.0,75,13517.0,45,17881.0,30,26008.0,15,28802.0,12,29829.0,9,34220.0,6,35992.0,3,53073.0,0
208,34003-89,D,409,4.0,4023533.0,1391.0,205,2748.0,103,4616.0,62,7152.0,41,14341.0,21,15295.0,17,27055.0,13,30631.0,9,36734.0,5,4023533.0,0
209,34003-89,N,299,238.0,66814.0,982.0,150,4539.0,75,7252.0,45,11563.0,30,17292.0,15,19846.0,12,21746.0,9,23528.0,6,28827.0,3,66814.0,0
210,34003-89,W,189,613.0,37971.0,1793.0,95,4826.0,48,7230.0,29,14400.0,19,20407.0,10,21743.0,8,24253.0,6,28673.0,4,34992.0,2,37971.0,0
211,34003-91,D,1982,2.0,16668.0,907.0,991,957.0,496,1790.0,298,1827.0,199,2718.0,100,2797.0,80,3604.0,60,4466.0,40,5866.0,20,16668.0,0
212,34003-91,N,2147,-2.0,13535.0,913.0,1074,1792.0,537,1859.0,323,2713.0,215,3634.0,108,4489.0,86,5250.0,65,5425.0,43,6506.0,22,13535.0,0
213,34003-91,W,1484,3.0,14400.0,916.0,742,1791.0,371,1939.0,223,2709.0,149,3629.0,75,4498.0,60,4559.0,45,6321.0,30,8136.0,15,14400.0,0
214,34003-92,D,840,2.0,50422.0,1082.0,420,3587.0,210,5433.0,126,8094.0,84,14402.0,42,16228.0,34,23527.0,26,29733.0,17,33308.0,9,50422.0,0
215,34003-92,N,576,676.0,27006.0,1795.0,288,5430.0,144,9781.0,87,13499.0,58,17994.0,29,18901.0,24,20921.0,18,23397.0,12,26077.0,6,27006.0,0
216,34003-92,W,468,175.0,45904.0,1901.0,234,6123.0,117,8984.0,71,11871.0,47,18901.0,24,20699.0,19,21630.0,15,26128.0,10,29871.0,5,45904.0,0
217,34003-93,D,2503,2.0,96519.0,901.0,1252,923.0,626,940.0,376,958.0,251,1020.0,126,1060.0,101,1108.0,76,1228.0,51,1780.0,26,96519.0,0
218,34003-93,N,3330,2.0,9795.0,901.0,1665,920.0,833,937.0,500,959.0,333,1744.0,167,1787.0,134,1807.0,100,1838.0,67,2696.0,34,9795.0,0
219,34003-93,W,2396,2.0,3835.0,901.0,1198,919.0,599,936.0,360,953.0,240,1243.0,120,1764.0,96,1795.0,72,1813.0,48,1850.0,24,3835.0,0
220,34003-94,D,260,2.0,86364.0,4542.0,130,15403.0,65,33316.0,39,55260.0,26,63911.0,13,65126.0,11,68275.0,8,71469.0,6,81392.0,3,86364.0,0
221,34003-94,N,164,183.0,86430.0,4105.0,82,14858.0,41,23967.0,25,28160.0,17,39975.0,9,43283.0,7,47182.0,5,50839.0,4,86428.0,2,86430.0,0
222,34003-94,W,117,204.0,86526.0,7120.0,59,30078.0,30,44101.0,18,57200.0,12,81434.0,6,82280.0,5,83178.0,4,86424.0,3,86463.0,2,86526.0,0
223,34003-95,D,289,8.0,471892.0,3547.0,145,12488.0,73,25510.0,44,48616.0,29,63027.0,15,64026.0,12,76655.0,9,80938.0,6,86468.0,3,471892.0,0
224,34003-95,N,135,757.0,56403.0,3599.0,68,14149.0,34,23413.0,21,27854.0,14,35353.0,7,42353.0,6,44033.0,5,52197.0,3,54853.0,2,56403.0,0
225,34003-95,W,125,250.0,85317.0,3638.0,63,24174.0,32,29654.0,19,51335.0,13,59435.0,7,60435.0,5,61096.0,4,65819.0,3,66770.0,2,85317.0,0
226,34003-96,D,862,2.0,62043.0,1082.0,431,2984.0,216,5403.0,130,8132.0,87,16052.0,44,21616.0,35,30600.0,26,37790.0,18,42358.0,9,62043.0,0
227,34003-96,N,500,621.0,46838.0,1767.0,250,4522.0,125,8137.0,75,11915.0,50,18895.0,25,20675.0,20,23154.0,15,29716.0,10,36976.0,5,46838.0,0
228,34003-96,W,449,215.0,72010.0,1816.0,225,6304.0,113,9908.0,68,12599.0,45,18785.0,23,21592.0,18,24062.0,14,29679.0,9,35108.0,5,72010.0,0
229,34003-97,D,956,29.0,28747.0,2903.0,478,3599.0,239,4360.0,144,4501.0,96,7190.0,48,7207.0,39,8022.0,29,10800.0,20,14940.0,10,28747.0,0
230,34003-97,N,893,36.0,21557.0,3186.0,447,4119.0,224,5974.0,134,7197.0,90,10809.0,45,11700.0,36,13467.0,27,15310.0,18,17951.0,9,21557.0,0
231,34003-97,W,687,34.0,57597.0,3150.0,344,3614.0,172,6232.0,104,7191.0,69,8128.0,35,9907.0,28,11339.0,21,12594.0,14,14653.0,7,57597.0,0
232,34003-98,D,1178,2.0,29708.0,943.0,589,2529.0,295,3603.0,177,4558.0,118,8073.0,59,8997.0,48,11643.0,36,14540.0,24,19003.0,12,29708.0,0
233,34003-98,N,1008,1.0,30429.0,1748.0,504,3591.0,252,5368.0,152,6927.0,101,9871.0,51,10729.0,41,12120.0,31,13557.0,21,17660.0,11,30429.0,0
234,34003-98,W,582,6.0,33231.0,1840.0,291,4502.0,146,6962.0,88,9092.0,59,14218.0,30,15320.0,24,16172.0,18,19795.0,12,28790.0,6,33231.0,0
235,34003-99,D,1530,2.0,34230.0,910.0,765,1787.0,383,2615.0,230,2828.0,153,4508.0,77,5383.0,62,6305.0,46,8075.0,31,12291.0,16,34230.0,0
236,34003-99,N,1143,90.0,35444.0,922.0,572,2699.0,286,4506.0,172,6274.0,115,9029.0,58,11684.0,46,13519.0,35,16245.0,23,19782.0,12,35444.0,0
237,34003-99,W,737,15.0,44111.0,1759.0,369,3622.0,185,5405.0,111,7198.0,74,9952.0,37,10834.0,30,12588.0,23,14146.0,15,18909.0,8,44111.0,0
238,34003-100,D,544,506.0,42275.0,1825.0,272,5467.0,136,9877.0,82,13498.0,55,17081.0,28,19001.0,22,22330.0,17,25992.0,11,28759.0,6,42275.0,0
239,34003-100,N,435,2.0,67364.0,2740.0,218,8970.0,109,14594.0,66,19111.0,44,29819.0,22,32556.0,18,34386.0,14,39747.0,9,43347.0,5,67364.0,0
240,34003-100,W,298,230.0,62085.0,3603.0,149,9634.0,75,15238.0,45,19114.0,30,26065.0,15,31303.0,12,32402.0,9,35188.0,6,49639.0,3,62085.0,0
241,34003-101,D,337,0.0,1716038.0,2680.0,169,8099.0,85,14854.0,51,21142.0,34,49494.0,17,56680.0,14,62824.0,11,67541.0,7,73400.0,4,1716038.0,0
242,34003-101,N,185,0.0,59612.0,1928.0,93,10994.0,47,17999.0,28,26096.0,19,38566.0,10,39608.0,8,44038.0,6,47724.0,4,52190.0,2,59612.0,0
243,34003-101,W,160,0.0,86801.0,3597.0,80,14846.0,40,21731.0,24,29307.0,16,41280.0,8,46968.0,7,53596.0,5,66427.0,4,86543.0,2,86801.0,0
