,agency,slot,size,min,max,50-p,50-r,75-p,75-r,85-p,85-r,90-p,90-r,95-p,95-r,96-p,96-r,97-p,97-r,98-p,98-r,99-p,99-r,100-p,100-r
34,34003-13,N,1803,2.0,29730.0,910.0,902,1781.0,451,2664.0,271,3593.0,181,5429.0,91,6309.0,73,8086.0,55,9037.0,37,10824.0,19,29730.0,0
35,34003-13,W,771,2.0,28843.0,948.0,386,2740.0,193,5369.0,116,6308.0,78,9872.0,39,10818.0,31,12668.0,24,18893.0,16,23418.0,8,28843.0,0
36,34003-14,D,1653,2.0,28690.0,906.0,827,969.0,414,1791.0,248,2651.0,166,5389.0,83,5409.0,67,5430.0,50,5657.0,34,7309.0,17,28690.0,0
37,34003-14,N,1479,2.0,21607.0,923.0,740,1884.0,370,4356.0,222,5406.0,148,7188.0,74,7646.0,60,8971.0,45,9909.0,30,13486.0,15,21607.0,0
38,34003-14,W,1096,30.0,17111.0,928.0,548,1960.0,274,3642.0,165,5389.0,110,6284.0,55,6994.0,44,8095.0,33,9857.0,22,10523.0,11,17111.0,0
39,34003-15,D,1680,3.0,73607.0,909.0,840,1762.0,420,1851.0,252,2704.0,168,3628.0,84,4446.0,68,4549.0,51,6242.0,34,7260.0,17,73607.0,0
40,34003-15,N,1636,2.0,38687.0,920.0,818,1825.0,409,2715.0,246,3610.0,164,5407.0,82,6297.0,66,7195.0,50,8108.0,33,10815.0,17,38687.0,0
41,34003-15,W,1010,129.0,23412.0,943.0,505,2693.0,253,3648.0,152,5382.0,101,7198.0,51,7246.0,41,8996.0,31,9915.0,21,11701.0,11,23412.0,0
42,34003-17,D,1036,2.0,34194.0,961.0,518,2072.0,259,3602.0,156,4524.0,104,7146.0,52,8000.0,42,9024.0,32,9923.0,21,13375.0,11,34194.0,0
43,34003-17,N,767,2.0,86452.0,1810.0,384,4468.0,192,8072.0,116,10794.0,77,15440.0,39,17985.0,31,21634.0,24,26108.0,16,31674.0,8,86452.0,0
44,34003-17,W,547,304.0,258346.0,1778.0,274,4506.0,137,8177.0,83,10653.0,55,13521.0,28,16224.0,22,18897.0,17,21292.0,11,26274.0,6,258346.0,0
45,34003-18,D,460,2.0,78647.0,2686.0,230,8226.0,115,16148.0,69,22877.0,46,47712.0,23,50456.0,19,54902.0,14,59389.0,10,61699.0,5,78647.0,0
46,34003-18,N,211,2.0,53605.0,3248.0,106,10808.0,53,19779.0,32,24295.0,22,28426.0,11,33284.0,9,40493.0,7,50033.0,5,52754.0,3,53605.0,0
47,34003-18,W,148,345.0,78937.0,9692.0,74,19265.0,37,27014.0,23,40501.0,15,57921.0,8,68840.0,6,71085.0,5,72380.0,3,75210.0,2,78937.0,0
48,34003-19,D,2090,3.0,12542.0,904.0,1045,941.0,523,1246.0,314,1801.0,209,2647.0,105,2695.0,84,2739.0,63,3583.0,42,4471.0,21,12542.0,0
49,34003-19,N,1775,5.0,24099.0,919.0,888,1809.0,444,2722.0,267,3617.0,178,5524.0,89,6522.0,71,7827.0,54,8987.0,36,11551.0,18,24099.0,0
50,34003-19,W,1154,17.0,17090.0,924.0,577,2567.0,289,3587.0,174,4465.0,116,5406.0,58,6260.0,47,6353.0,35,7216.0,24,9043.0,12,17090.0,0
51,34003-20,D,888,2.0,79237.0,954.0,444,2738.0,222,5284.0,134,8083.0,89,16155.0,45,20694.0,36,24122.0,27,36016.0,18,54923.0,9,79237.0,0
52,34003-20,N,527,0.0,64726.0,1726.0,264,3641.0,132,7170.0,80,10848.0,53,18031.0,27,20579.0,22,24357.0,16,27865.0,11,33298.0,6,64726.0,0
53,34003-20,W,301,198.0,138276.0,1916.0,151,8086.0,76,15126.0,46,18033.0,31,27885.0,16,29637.0,13,33275.0,10,51383.0,7,59557.0,4,138276.0,0
54,34003-21,D,692,2.0,249135.0,1722.0,346,3605.0,173,6012.0,104,7982.0,70,10069.0,35,10818.0,28,11753.0,21,12624.0,14,23209.0,7,249135.0,0
55,34003-21,N,706,1.0,34231.0,1730.0,353,3595.0,177,6336.0,106,9026.0,71,13556.0,36,16167.0,29,17122.0,22,20690.0,15,24301.0,8,34231.0,0
56,34003-21,W,455,261.0,616974.0,1838.0,228,4530.0,114,8095.0,69,10721.0,46,15889.0,23,18822.0,19,20748.0,14,27045.0,10,36942.0,5,616974.0,0
57,34003-22,D,250,232.0,86436.0,4479.0,125,18065.0,63,44010.0,38,66884.0,25,75631.0,13,80305.0,10,81127.0,8,84358.0,5,86401.0,3,86436.0,0
58,34003-22,N,95,840.0,54224.0,7191.0,48,25325.0,24,32401.0,15,36037.0,10,41418.0,5,43327.0,4,44114.0,3,45131.0,2,54224.0,1,54224.0,0
59,34003-22,W,94,581.0,86478.0,18069.0,47,37897.0,24,64510.0,15,71896.0,10,79973.0,5,86329.0,4,86379.0,3,86419.0,2,86478.0,1,86478.0,0
60,34003-23,D,196,136.0,86356.0,10815.0,98,32403.0,49,48580.0,30,59356.0,20,71034.0,10,72770.0,8,77434.0,6,83632.0,4,86221.0,2,86356.0,0
61,34003-23,N,147,834.0,47686.0,6271.0,74,14428.0,37,23384.0,23,30425.0,15,35098.0,8,38727.0,6,39600.0,5,41834.0,3,42238.0,2,47686.0,0
62,34003-23,W,100,139.0,86406.0,13499.0,50,38666.0,25,51303.0,15,56826.0,10,71263.0,5,80145.0,4,81095.0,3,83739.0,2,86406.0,1,86406.0,0
63,34003-24,D,2000,2.0,28813.0,905.0,1000,957.0,500,1787.0,300,1826.0,200,2710.0,100,2774.0,80,3589.0,60,3879.0,40,5371.0,20,28813.0,0
64,34003-24,N,1453,2.0,33332.0,926.0,727,2453.0,364,3602.0,218,4517.0,146,7202.0,73,8094.0,59,9009.0,44,10822.0,30,14401.0,15,33332.0,0
65,34003-24,W,973,17.0,21613.0,940.0,487,2705.0,244,4488.0,146,5405.0,98,7220.0,49,8105.0,39,8981.0,30,9907.0,20,11696.0,10,21613.0,0
66,34003-25,D,598,2.0,48473.0,2470.0,299,5377.0,150,8124.0,90,11650.0,60,20735.0,30,23380.0,24,29758.0,18,33204.0,12,39533.0,6,48473.0,0
67,34003-25,N,342,334.0,523603.0,3570.0,171,7301.0,86,11690.0,52,16162.0,35,28298.0,18,32415.0,14,34170.0,11,38683.0,7,43246.0,4,523603.0,0
68,34003-25,W,237,512.0,86465.0,4474.0,119,10706.0,60,17087.0,36,23380.0,24,36910.0,12,40522.0,10,43199.0,8,48785.0,5,49634.0,3,86465.0,0
